
Symbol table '.dynsym' contains 2394 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   113: 0007b5e0    74 IFUNC   GLOBAL DEFAULT   12 __rawmemchr@@GLIBC_2.1
   114: 0005ed10    67 FUNC    WEAK   DEFAULT   12 flockfile@@GLIBC_2.0
   115: 000a1740   102 FUNC    WEAK   DEFAULT   12 wcsncasecmp_l@@GLIBC_2.3
   116: 0007b8c0    53 FUNC    WEAK   DEFAULT   12 argz_add@@GLIBC_2.0
   117: 000eab40    60 FUNC    GLOBAL DEFAULT   12 inotify_init1@@GLIBC_2.9
   118: 000f7b80   630 FUNC    GLOBAL DEFAULT   12 __backtrace_symbols@@GLIBC_2.1
   119: 00080480    75 FUNC    GLOBAL DEFAULT   12 __strncpy_byn@@GLIBC_2.1.1
   120: 0006d130    18 FUNC    GLOBAL DEFAULT   12 _IO_un_link@@GLIBC_2.0
   121: 00068e20   351 FUNC    WEAK   DEFAULT   12 vasprintf@@GLIBC_2.0
   122: 00095640    53 FUNC    GLOBAL DEFAULT   12 __wcstod_internal@@GLIBC_2.0
   123: 00112830   438 FUNC    GLOBAL DEFAULT   12 authunix_create@@GLIBC_2.0
   124: 000ed910    19 FUNC    GLOBAL DEFAULT   12 _mcount@@GLIBC_2.0
   125: 000fa630    77 FUNC    GLOBAL DEFAULT   12 __wcstombs_chk@@GLIBC_2.4
   126: 00094100    70 IFUNC   GLOBAL DEFAULT   12 wmemcmp@@GLIBC_2.0
   127: 000a3cf0    35 FUNC    WEAK   DEFAULT   12 gmtime_r@@GLIBC_2.0
   128: 000d9080    64 FUNC    WEAK   DEFAULT   12 fchmod@@GLIBC_2.0
   129: 000f8800   277 FUNC    GLOBAL DEFAULT   12 __printf_chk@@GLIBC_2.3.4
   130: 00080750    38 FUNC    GLOBAL DEFAULT   12 __strspn_cg@@GLIBC_2.1.1
   131: 00069350   341 FUNC    WEAK   DEFAULT   12 obstack_vprintf@@GLIBC_2.0
   132: 0002c560    79 FUNC    WEAK   DEFAULT   12 sigwait@@GLIBC_2.0
   133: 00018df0    41 FUNC    GLOBAL DEFAULT   12 __cmpdi2@GLIBC_2.0
   134: 000b1080   156 FUNC    GLOBAL DEFAULT   12 setgrent@@GLIBC_2.0
   135: 000fa0e0   389 FUNC    GLOBAL DEFAULT   12 __fgetws_chk@@GLIBC_2.4
   136: 000f71c0   300 FUNC    GLOBAL DEFAULT   12 __register_atfork@@GLIBC_2.3.2
   137: 000eeb80    99 FUNC    WEAK   DEFAULT   12 iswctype_l@@GLIBC_2.3
   138: 000ee370   138 FUNC    WEAK   DEFAULT   12 wctrans@@GLIBC_2.0
   139: 000e2410    60 FUNC    GLOBAL DEFAULT   12 acct@@GLIBC_2.0
   140: 0002ec90    33 FUNC    GLOBAL DEFAULT   12 exit@@GLIBC_2.0
   141: 0003fe40 20540 FUNC    GLOBAL DEFAULT   12 _IO_vfprintf@@GLIBC_2.0
   142: 000b3a60   320 FUNC    GLOBAL DEFAULT   12 execl@@GLIBC_2.0
   143: 000ccbd0    28 FUNC    WEAK   DEFAULT   12 re_set_syntax@@GLIBC_2.0
   144: 000faef0     7 FUNC    GLOBAL DEFAULT   12 htonl@@GLIBC_2.0
   145: 00127cc0    65 FUNC    GLOBAL DEFAULT   12 getprotobynumber_r@GLIBC_2.0
   146: 000d6a60  2937 FUNC    GLOBAL DEFAULT   12 wordexp@@GLIBC_2.1
   147: 000fd150   430 FUNC    GLOBAL DEFAULT   12 getprotobynumber_r@@GLIBC_2.1.2
   148: 000fd450   172 FUNC    GLOBAL DEFAULT   12 endprotoent@@GLIBC_2.0
   149: 0002b390    41 FUNC    WEAK   DEFAULT   12 isinf@@GLIBC_2.0
   150: 000251e0    22 FUNC    GLOBAL DEFAULT   12 __assert@@GLIBC_2.2
   151: 0006a670     8 FUNC    GLOBAL DEFAULT   12 clearerr_unlocked@@GLIBC_2.0
   152: 000beff0   885 FUNC    GLOBAL DEFAULT   12 fnmatch@GLIBC_2.0
   153: 000beff0   885 FUNC    GLOBAL DEFAULT   12 fnmatch@@GLIBC_2.2.3
   154: 0010f930    30 FUNC    GLOBAL DEFAULT   12 xdr_keybuf@@GLIBC_2.0
   155: 000ea1f0    28 FUNC    GLOBAL DEFAULT   12 gnu_dev_major@@GLIBC_2.3.3
